,file_path,transcript
0,data/mathwriting-2024/train/918ecee1572d08dd.inkml,\frac{d}{dx}(y)
1,data/mathwriting-2024/train/7d82fd8b55c6e449.inkml,\hat{a}_{i}
2,data/mathwriting-2024/train/2d15249bf38715e0.inkml,\frac{\frac{\frac{10}{383}}{\sqrt{6}}}{185+191}
3,data/mathwriting-2024/train/56790991984d0fd4.inkml,f^{i^{c^{\cdot^{\cdot^{\cdot}}}}}
4,data/mathwriting-2024/train/356254293fe17260.inkml,\prod_{p^{k}}f(p^{k})
5,data/mathwriting-2024/train/c39562a304139d92.inkml,P\underline{\vee}Q
6,data/mathwriting-2024/train/9207917e6018d93a.inkml,\int_{S}dS
7,data/mathwriting-2024/train/7f328fe1ad9bc5bc.inkml,\tilde{f}(k)
8,data/mathwriting-2024/train/3fc13f675107d2cf.inkml,{19^{1}}^{\frac{272}{298}}
9,data/mathwriting-2024/train/161006b3d45e9d7d.inkml,3/\tilde{4}
10,data/mathwriting-2024/train/3d390b750ee1050f.inkml,\frac{100-95}{95}=5.26\%
11,data/mathwriting-2024/train/9cd0cf6b718c33fd.inkml,"\underline{a}_{1},...,\underline{a}_{r}\in\mathbb{R}^{n}"
12,data/mathwriting-2024/train/d6fcd57aea1afd6b.inkml,\vec{e}_{3}=\frac{\omega}{2}\partial_{\phi}-\partial_{t}
13,data/mathwriting-2024/train/a8c79269b7d9cb48.inkml,\hat{M}^{\prime}
14,data/mathwriting-2024/train/b0c16fabe7fca69c.inkml,I=\frac{\pi^{2}}{2}-\alpha\pi
15,data/mathwriting-2024/train/6505bb674d92f98a.inkml,\sigma_{+}^{2}=\sigma_{-}^{2}=\frac{1}{2}\sigma^{2}
16,data/mathwriting-2024/train/353b6762d232c45b.inkml,F(x)=\int ln(f(x))dx
17,data/mathwriting-2024/train/5df90e8095c96025.inkml,\hat{e}
18,data/mathwriting-2024/train/236d0f8ce8a5716d.inkml,p_{\omega}(x)=\omega(x^{*}x)^{1/2}
19,data/mathwriting-2024/train/b3029bad4fbdf633.inkml,D=\frac{2|E|}{|V|(|V|-1)}
20,data/mathwriting-2024/train/9b057cae82611617.inkml,c^{2}=1/\mu_{0}\epsilon_{0}
21,data/mathwriting-2024/train/80d29b13c82b87c4.inkml,\hat{h}
22,data/mathwriting-2024/train/3ff99de38ff0dbf5.inkml,"y=ce^{\frac{1}{2}x^{2}},c\in\mathbb{R}"
23,data/mathwriting-2024/train/bab6064cc34f6f26.inkml,(\frac{276+6}{1})^{450^{233}}
24,data/mathwriting-2024/train/0aef2d8c87435f7e.inkml,S=\frac{mu^{0}}{\sqrt{6-\frac{v^{0}}{u^{0}}}}
25,data/mathwriting-2024/train/55722ac5ec0da644.inkml,(\frac{11}{8}\div\frac{48}{35}=\frac{385}{384})
26,data/mathwriting-2024/train/986b403dbe4e7a78.inkml,\nabla f=g^{ik}\frac{\partial f}{\partial x^{k}}\frac{\partial}{\partial x^{i}}
27,data/mathwriting-2024/train/2eca88fcf3524e29.inkml,\varsigma f^{\prime}=\frac{\varsigma f}{\sqrt{3-\frac{v^{0}}{c^{0}}}}
28,data/mathwriting-2024/train/4085c846b3e88a12.inkml,\int_{S}F\overline{G}
29,data/mathwriting-2024/train/48e4ce279319033a.inkml,Re=\frac{\rho uL}{\mu}=\frac{uL}{\nu}
30,data/mathwriting-2024/train/1c007e930e6b306a.inkml,D^{(t_{\gamma})}
31,data/mathwriting-2024/train/c5977220aea32994.inkml,(\frac{9!}{8!\cdot(9!-8!)})^{9!}
32,data/mathwriting-2024/train/7093399228424d25.inkml,e^{15^{15^{15^{133}}}}
33,data/mathwriting-2024/train/2f997b9c0818a080.inkml,F_{n}^{+}
34,data/mathwriting-2024/train/e3a0332bbd7188fe.inkml,\tilde{w}
35,data/mathwriting-2024/train/c0f87420510d75fc.inkml,S<\prod_{i=1}^{k}m_{i}
36,data/mathwriting-2024/train/1ce354a5bbd3297c.inkml,\frac{\Delta r}{i}=\frac{R^{\frac{2r_{l}}{i}}-1}{R^{\frac{2r_{l}}{i}}\cdot1}
37,data/mathwriting-2024/train/617beca4c0e7a16d.inkml,"[A,\overline{Q}]=\frac{1}{2}\overline{Q}"
38,data/mathwriting-2024/train/a3b315bacad5e0a2.inkml,aO_{n-1}b
39,data/mathwriting-2024/train/0abd133660f4f89b.inkml,\frac{dT}{dt}=0
40,data/mathwriting-2024/train/b800575baacf5138.inkml,\{\begin{matrix}3\\ 8\end{matrix}\}
41,data/mathwriting-2024/train/030e0cb56c3d3b38.inkml,\sqrt{a^{2}+b^{2}}=c
42,data/mathwriting-2024/train/132cb8cc637ec64f.inkml,\mu=\frac{m_{e}M}{m_{e}+M}
43,data/mathwriting-2024/train/e2298946fd098cd5.inkml,\omega=\frac{d\theta}{dt}
44,data/mathwriting-2024/train/124da7ddc314cf47.inkml,\int_{-3}^{0}(3)dx
